Wheel;0.37.1;https://anduin.linuxfromscratch.org/LFS/wheel-0.37.1.tar.gz;f490f1399e5903706cb1d4fbed9ecb28
XML::Parser;2.46;https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-2.46.tar.gz;80bb18a8e6240fcf7ec2f7b57601c170
Xz Utils;5.2.6;https://tukaani.org/xz/xz-5.2.6.tar.xz;d9cd5698e1ec06cf638c0d2d645e8175
Zlib;1.2.12;https://zlib.net/zlib-1.2.12.tar.xz;28687d676c04e7103bb6ff2b9694c471
Zstd;1.5.2;https://www.linuxfromscratch.org/patches/lfs/11.2/bzip2-1.0.8-install_docs-1.patch;6a5ac7e89b791aae556de0f745916f7f
Coreutils Internationalization Fixes Patch;;https://www.linuxfromscratch.org/patches/lfs/11.2/coreutils-9.1-i18n-1.patch;c1ac7edf095027460716577633da9fc5
Glibc FHS Patch;;https://www.linuxfromscratch.org/patches/lfs/11.2/glibc-2.36-fhs-1.patch;9a5997c3452909b1769918c759eff8a2
Kbd Backspace/Delete Fix Patch;;https://www.linuxfromscratch.org/patches/lfs/11.2/kbd-2.5.1-backspace-1.patch;f75cca16a38da6caa7d52151f7136895
Systemd Upstream Patch;;https://www.linuxfromscratch.org/patches/lfs/11.2/systemd-251-glibc_2.36_fix-1.patch;fd8dc901e73ad00dc72a351a0d4ac48c
Zstd Upstream Fixes Patch;;https://www.linuxfromscratch.org/patches/lfs/11.2/zstd-1.5.2-upstream_fixes-1.patch;a7e576e3f87415fdf388392b257cdcf3
